date,Open,High,Low,Close
2022-06-20 20:00:00,1838.936,1841.488,1838.398,1840.915
2022-06-20 21:00:00,1840.915,1842.328,1839.163,1841.418
2022-06-20 22:00:00,1841.448,1842.093,1839.643,1839.958
2022-06-20 23:00:00,1839.928,1841.068,1839.538,1840.077
2022-06-21 00:00:00,1840.077,1840.738,1837.868,1838.499
2022-06-21 01:00:00,1838.499,1839.513,1833.578,1835.123
2022-06-21 02:00:00,1835.12,1836.138,1832.528,1834.052
2022-06-21 03:00:00,1834.052,1839.286,1832.468,1838.268
2022-06-21 04:00:00,1838.204,1838.378,1834.138,1834.499
2022-06-21 05:00:00,1834.495,1838.378,1834.298,1837.188
2022-06-21 06:00:00,1837.167,1837.208,1833.264,1833.264
2022-06-21 07:00:00,1833.276,1834.858,1830.667,1833.408
2022-06-21 08:00:00,1833.418,1839.498,1832.788,1836.018
2022-06-21 09:00:00,1836.018,1839.228,1832.668,1838.444
2022-06-21 10:00:00,1838.444,1843.518,1836.468,1839.498
2022-06-21 11:00:00,1839.548,1840.788,1834.098,1835.128
2022-06-21 12:00:00,1835.128,1836.588,1833.555,1836.163
2022-06-21 13:00:00,1836.163,1836.958,1832.878,1833.348
2022-06-21 14:00:00,1833.368,1834.313,1830.788,1830.878
2022-06-21 15:00:00,1830.898,1832.138,1828.424,1830.498
2022-06-21 16:00:00,1830.498,1834.553,1830.128,1832.718
2022-06-21 18:00:00,1832.618,1833.233,1828.968,1831.098
2022-06-21 19:00:00,1831.068,1831.768,1829.888,1831.325
2022-06-21 20:00:00,1831.325,1831.548,1826.608,1828.388
2022-06-21 21:00:00,1828.388,1830.278,1826.958,1828.493
2022-06-21 22:00:00,1828.493,1828.893,1825.468,1827.778
2022-06-21 23:00:00,1827.758,1830.238,1827.206,1827.483
2022-06-22 00:00:00,1827.473,1828.308,1825.208,1825.618
2022-06-22 01:00:00,1825.608,1826.678,1824.354,1824.758
2022-06-22 02:00:00,1824.718,1826.828,1824.084,1826.088
2022-06-22 03:00:00,1826.078,1830.288,1823.738,1826.659
2022-06-22 04:00:00,1826.723,1826.723,1823.288,1823.898
2022-06-22 05:00:00,1823.898,1829.293,1823.293,1828.518
2022-06-22 06:00:00,1828.518,1832.188,1827.18,1831.878
2022-06-22 07:00:00,1831.864,1842.928,1831.828,1836.291
2022-06-22 08:00:00,1836.372,1846.638,1836.088,1844.558
2022-06-22 09:00:00,1844.588,1847.778,1835.278,1844.493
2022-06-22 10:00:00,1844.493,1845.268,1838.468,1840.108
2022-06-22 11:00:00,1840.108,1842.138,1836.658,1837.908
2022-06-22 12:00:00,1837.908,1839.418,1835.668,1838.198
2022-06-22 13:00:00,1838.198,1840.588,1835.848,1840.553
2022-06-22 14:00:00,1840.498,1841.588,1837.238,1837.738
2022-06-22 15:00:00,1837.788,1838.638,1837.263,1837.568
2022-06-22 16:00:00,1837.623,1838.268,1837.203,1837.588
2022-06-22 18:00:00,1837.791,1838.068,1837.408,1837.578
2022-06-22 19:00:00,1837.608,1838.268,1836.088,1836.428
2022-06-22 20:00:00,1836.438,1837.548,1834.848,1835.588
2022-06-22 21:00:00,1835.463,1838.538,1832.808,1832.963
2022-06-22 22:00:00,1832.968,1834.328,1832.358,1833.313
2022-06-22 23:00:00,1833.313,1834.738,1832.268,1832.648
2022-06-23 00:00:00,1832.688,1833.578,1831.988,1833.108
2022-06-23 01:00:00,1833.098,1834.928,1830.958,1834.628
2022-06-23 02:00:00,1834.658,1835.668,1833.042,1835.376
2022-06-23 03:00:00,1835.376,1838.008,1832.718,1837.812
2022-06-23 04:00:00,1837.758,1837.913,1831.638,1832.938
2022-06-23 05:00:00,1832.943,1833.533,1830.333,1831.876
2022-06-23 06:00:00,1831.876,1831.876,1827.543,1829.353
2022-06-23 07:00:00,1829.343,1829.698,1823.798,1829.288
2022-06-23 08:00:00,1829.178,1834.173,1828.438,1833.883
2022-06-23 09:00:00,1833.861,1846.238,1833.748,1844.188
2022-06-23 10:00:00,1844.193,1844.418,1839.828,1840.798
2022-06-23 11:00:00,1840.818,1841.908,1831.564,1833.078
2022-06-23 12:00:00,1833.066,1834.478,1829.004,1830.204
2022-06-23 13:00:00,1830.273,1830.288,1825.324,1826.738
2022-06-23 14:00:00,1826.738,1827.178,1822.388,1825.928
2022-06-23 15:00:00,1825.898,1827.278,1825.41,1826.283
2022-06-23 16:00:00,1826.343,1826.343,1822.418,1822.548
2022-06-23 18:00:00,1822.408,1825.118,1822.408,1824.138
2022-06-23 19:00:00,1824.138,1824.778,1823.098,1824.448
2022-06-23 20:00:00,1824.443,1825.358,1822.363,1823.833
2022-06-23 21:00:00,1823.838,1825.178,1821.514,1823.788
2022-06-23 22:00:00,1823.768,1826.368,1823.748,1826.068
2022-06-23 23:00:00,1826.068,1826.088,1823.808,1825.088
2022-06-24 00:00:00,1825.032,1826.408,1822.288,1825.948
2022-06-24 01:00:00,1825.918,1826.988,1824.438,1824.704
2022-06-24 02:00:00,1824.704,1824.748,1821.258,1823.113
2022-06-24 03:00:00,1823.113,1831.686,1821.048,1829.928
2022-06-24 04:00:00,1829.908,1830.063,1824.808,1826.103
2022-06-24 05:00:00,1826.098,1828.838,1825.498,1828.808
2022-06-24 06:00:00,1828.778,1829.058,1824.823,1825.093
2022-06-24 07:00:00,1825.083,1826.687,1822.028,1824.798
2022-06-24 08:00:00,1824.848,1826.308,1821.723,1822.013
2022-06-24 09:00:00,1821.968,1828.104,1816.898,1822.563
2022-06-24 10:00:00,1822.546,1828.868,1822.178,1826.328
2022-06-24 11:00:00,1826.343,1831.223,1826.098,1826.978
2022-06-24 12:00:00,1826.978,1827.618,1825.968,1826.313
2022-06-24 13:00:00,1826.313,1828.578,1826.223,1826.698
2022-06-24 14:00:00,1826.778,1830.773,1826.778,1828.553
2022-06-24 15:00:00,1828.598,1828.603,1823.558,1824.108
2022-06-24 16:00:00,1824.088,1827.402,1824.088,1825.858
2022-06-26 18:00:00,1837.376,1839.363,1831.078,1833.663
2022-06-26 19:00:00,1833.663,1834.163,1829.858,1830.928
2022-06-26 20:00:00,1830.918,1831.848,1828.058,1828.838
2022-06-26 21:00:00,1828.908,1836.763,1828.308,1834.468
2022-06-26 22:00:00,1834.468,1836.613,1834.234,1835.458
2022-06-26 23:00:00,1835.468,1835.658,1834.198,1834.703
2022-06-27 00:00:00,1834.688,1835.553,1834.343,1835.318
2022-06-27 01:00:00,1835.328,1836.783,1834.528,1835.338
2022-06-27 02:00:00,1835.328,1838.763,1834.348,1838.193
2022-06-27 03:00:00,1838.163,1840.948,1834.698,1834.818
2022-06-27 04:00:00,1834.843,1840.318,1833.713,1839.483
2022-06-27 05:00:00,1839.488,1840.41,1836.918,1837.198
2022-06-27 06:00:00,1837.258,1839.756,1836.828,1837.253
2022-06-27 07:00:00,1837.248,1837.326,1833.238,1833.888
2022-06-27 08:00:00,1833.873,1834.088,1828.148,1831.753
2022-06-27 09:00:00,1831.753,1834.463,1827.318,1828.366
2022-06-27 10:00:00,1828.393,1828.688,1824.458,1825.108
2022-06-27 11:00:00,1825.108,1826.143,1820.678,1825.008
2022-06-27 12:00:00,1825.018,1826.808,1823.473,1825.228
2022-06-27 13:00:00,1825.253,1826.948,1822.053,1823.933
2022-06-27 14:00:00,1823.933,1824.723,1822.943,1823.763
2022-06-27 15:00:00,1823.743,1823.838,1821.838,1822.455
2022-06-27 16:00:00,1822.468,1823.533,1821.833,1822.618
2022-06-27 18:00:00,1822.348,1822.892,1821.543,1822.298
2022-06-27 19:00:00,1822.259,1823.483,1822.128,1823.443
2022-06-27 20:00:00,1823.423,1824.803,1822.457,1824.658
2022-06-27 21:00:00,1824.673,1825.358,1822.858,1824.813
2022-06-27 22:00:00,1824.908,1825.148,1822.228,1824.268
2022-06-27 23:00:00,1824.328,1826.308,1824.053,1825.883
2022-06-28 00:00:00,1825.913,1826.878,1825.178,1825.328
2022-06-28 01:00:00,1825.338,1826.413,1824.618,1825.098
2022-06-28 02:00:00,1825.128,1829.198,1824.908,1827.028
2022-06-28 03:00:00,1826.988,1828.126,1825.698,1826.858
2022-06-28 04:00:00,1826.858,1829.412,1826.038,1826.413
2022-06-28 05:00:00,1826.453,1827.748,1824.238,1824.638
2022-06-28 06:00:00,1824.598,1825.688,1822.218,1823.278
2022-06-28 07:00:00,1823.278,1825.578,1820.228,1825.423
2022-06-28 08:00:00,1825.394,1826.663,1821.268,1822.373
2022-06-28 09:00:00,1822.403,1826.128,1818.704,1820.973
2022-06-28 10:00:00,1820.978,1825.558,1818.479,1821.258
2022-06-28 11:00:00,1821.268,1821.996,1818.858,1820.628
2022-06-28 12:00:00,1820.628,1823.698,1819.958,1821.498
2022-06-28 13:00:00,1821.498,1822.438,1819.398,1821.163
2022-06-28 14:00:00,1821.163,1821.188,1818.268,1820.143
2022-06-28 15:00:00,1820.168,1820.588,1818.908,1819.508
2022-06-28 16:00:00,1819.608,1820.763,1819.288,1819.708
2022-06-28 18:00:00,1819.098,1820.158,1819.098,1819.558
2022-06-28 19:00:00,1819.558,1819.613,1818.148,1818.298
2022-06-28 20:00:00,1818.308,1819.963,1818.228,1819.718
2022-06-28 21:00:00,1819.728,1822.968,1818.358,1822.038
2022-06-28 22:00:00,1822.018,1822.568,1820.798,1821.088
2022-06-28 23:00:00,1821.068,1821.718,1819.848,1820.623
2022-06-29 00:00:00,1820.623,1822.278,1820.258,1820.658
2022-06-29 01:00:00,1820.668,1821.958,1820.398,1820.853
2022-06-29 02:00:00,1820.843,1821.533,1815.898,1817.552
2022-06-29 03:00:00,1817.552,1819.718,1815.968,1816.781
2022-06-29 04:00:00,1816.73,1817.498,1815.598,1816.425
2022-06-29 05:00:00,1816.425,1818.468,1811.978,1814.609
2022-06-29 06:00:00,1814.623,1826.398,1814.558,1824.797
2022-06-29 07:00:00,1824.797,1827.248,1823.888,1824.863
2022-06-29 08:00:00,1824.863,1832.958,1824.738,1831.213
2022-06-29 09:00:00,1831.178,1832.558,1815.993,1816.653
2022-06-29 10:00:00,1816.636,1820.294,1814.806,1815.493
2022-06-29 11:00:00,1815.476,1819.198,1815.131,1818.433
2022-06-29 12:00:00,1818.433,1819.603,1816.628,1816.833
2022-06-29 13:00:00,1816.838,1816.978,1815.543,1816.518
2022-06-29 14:00:00,1816.478,1819.233,1816.258,1817.818
2022-06-29 15:00:00,1817.813,1819.038,1817.303,1818.333
2022-06-29 16:00:00,1818.288,1819.153,1817.418,1817.448
2022-06-29 18:00:00,1817.198,1818.518,1817.098,1818.288
2022-06-29 19:00:00,1818.268,1818.878,1817.418,1818.763
2022-06-29 20:00:00,1818.768,1820.638,1817.908,1819.558
2022-06-29 21:00:00,1819.518,1820.348,1817.993,1819.688
2022-06-29 22:00:00,1819.688,1821.923,1819.293,1819.698
2022-06-29 23:00:00,1819.703,1820.228,1817.073,1817.238
2022-06-30 00:00:00,1817.238,1817.248,1814.878,1816.038
2022-06-30 01:00:00,1816.038,1816.918,1815.103,1815.263
2022-06-30 02:00:00,1815.263,1817.686,1815.148,1816.693
2022-06-30 03:00:00,1816.693,1817.548,1812.383,1814.963
2022-06-30 04:00:00,1814.963,1816.963,1812.288,1815.778
2022-06-30 05:00:00,1815.823,1816.008,1810.926,1812.888
2022-06-30 06:00:00,1812.888,1812.888,1809.976,1810.313
2022-06-30 07:00:00,1810.292,1813.138,1802.628,1805.258
2022-06-30 08:00:00,1805.268,1824.938,1802.618,1822.493
2022-06-30 09:00:00,1822.493,1825.008,1814.768,1816.903
2022-06-30 10:00:00,1816.916,1818.003,1804.71,1809.008
2022-06-30 11:00:00,1808.978,1814.596,1805.04,1814.258
2022-06-30 12:00:00,1814.234,1814.674,1808.678,1809.798
2022-06-30 13:00:00,1809.768,1810.114,1806.05,1808.308
2022-06-30 14:00:00,1808.388,1809.418,1806.174,1806.648
2022-06-30 15:00:00,1806.658,1808.632,1805.394,1806.738
2022-06-30 16:00:00,1806.784,1807.528,1805.514,1807.098
2022-06-30 18:00:00,1806.608,1807.798,1804.364,1806.128
2022-06-30 19:00:00,1806.138,1806.964,1804.814,1806.428
2022-06-30 20:00:00,1806.448,1807.064,1803.294,1806.294
2022-06-30 21:00:00,1806.304,1806.868,1804.388,1804.454
2022-06-30 22:00:00,1804.424,1806.428,1803.904,1804.248
2022-06-30 23:00:00,1804.244,1804.548,1801.208,1801.324
2022-07-01 00:00:00,1801.324,1802.998,1800.688,1802.748
2022-07-01 01:00:00,1802.748,1802.838,1795.088,1797.308
2022-07-01 02:00:00,1797.208,1799.634,1796.068,1797.934
2022-07-01 03:00:00,1797.938,1798.436,1792.292,1794.609
2022-07-01 04:00:00,1794.609,1795.786,1792.468,1794.724
2022-07-01 05:00:00,1794.714,1796.968,1793.938,1795.538
2022-07-01 06:00:00,1795.608,1795.858,1789.384,1789.734
2022-07-01 07:00:00,1789.754,1791.548,1785.008,1790.408
2022-07-01 08:00:00,1790.391,1790.948,1784.397,1789.744
2022-07-01 09:00:00,1789.654,1798.396,1788.328,1794.137
2022-07-01 10:00:00,1794.278,1804.408,1793.252,1800.609
2022-07-01 11:00:00,1800.628,1808.734,1800.505,1806.158
2022-07-01 12:00:00,1806.174,1806.654,1798.845,1799.254
2022-07-01 13:00:00,1799.174,1805.514,1797.788,1804.744
2022-07-01 14:00:00,1804.734,1809.198,1804.398,1808.924
2022-07-01 15:00:00,1808.944,1809.174,1805.018,1805.238
2022-07-01 16:00:00,1805.288,1811.698,1805.288,1810.598
2022-07-03 18:00:00,1812.078,1812.169,1808.964,1809.844
2022-07-03 19:00:00,1809.828,1810.348,1807.868,1807.924
